"194";"Tb_Pol.Jud.Timis 1"
"195";"ILSA 1tb."
"196";"Badea Cartan 2tb"
"197";"Telegrafului"
"198";"Ab_Gara de Est_1"
"199";"Ab_U.M.T._0"
"200";"Ab_Cvar.UMT_1"
"201";"Muzeul Satului s"
"202";"Muzeul Satului"
"203";"Ab_Cvar.UMT_0"
"204";"Ab_U.M.T_1"
"205";"Ab_Gara de Est_0"
"206";"Tb_Pol.Jud.Timis 2."
"207";"Tb_A.Popovici 2"
"208";"Ab_Gh.Lazar 1"
"209";"Circumvalatiunii 2a"
"210";"C Torontalului 2a"
"211";"AT_Miresei_2"
"212";"AT_Torontalului_2"
"213";"Liege 2a"
"214";"Agronomie 1tb"
"215";"Ab_Selgros 1"
"216";"Ab_Selgros 2"
"217";"Agronomie 2tb"
"218";"Liege 3tb"
"219";"Torontalului 1tb"
"220";"AT_Miresei_1"
"221";"Ab_C.Europei 1"
"222";"Circumvalatiunii"
"223";"Gh.Lazar"
"224";"AT_Gara de Nord_1"
"225";"Ab-Pod C.Sagului 2"
"226";"Continental"
"227";"Ciarda Rosie__"
"228";"Gh.Domasnean"
"229";"Cv.Sudului 2tb"
"230";"Sp.Judetean 2tb"
"231";"Cluj 2tb."
"232";"Comp. Studentesc 2tb"
"233";"T.Lalescu"
"234";"Hector"
"235";"P-ta C.Europei 1tb"
"236";"Dacia_Service3"
"237";"Div.9 Cavalerie 1tb"
"238";"Pomiculturii 1tb"
"239";"Petru si Pavel 1a"
"240";"Stuparilor 2a"
"241";"Complex Euro"
"242";"Dacia Service 2tb"
"243";"P-ta C.Europei 2tb"
"244";"Pod A.Saguna2"
"245";"Comp. Studentesc 1tb"
"246";"Cluj 1tb."
"247";"Sp.Judetean"
"248";"Cv.Sudului 1tb"
"249";"Venus"
"250";"Electrotimis3"
"251";"Ciarda Rosie_"
"252";"Elbromplast"
"253";"Apicultorilor 1a"
"254";"Muzicescu"
"255";"Mart.I.Stanciu 2tb."
"256";"Martirilor 2tb."
"257";"Pod M Saguna 1a"
"258";"Jiul"
"259";"N.Titulescu"
"260";"Carmen Silva"
"261";"Jiul 2tb."
"262";"Jiul 1tb."
"263";"Ab_Catedrala 2"
"264";"V.Babes"
"265";"Univ de Vest_"
"266";"Martirilor 1tb."
"267";"Mart.I.Stanciu 1tb."
"268";"Bastion"
"269";"Badea Cartan 1tb"
"270";"Arena Aqua 1tb"
"271";"DN6"
"272";"Jumbo"
"273";"Hella"
"274";"Aeroport Civil_II"
"275";"Cartier Aeroport"
"276";"UM Aeroport"
"277";"Cartier Aeroport II"
"278";"Jumbo_"
"279";"DN6_II"
"280";"Arena Aqua_3"
"281";"V.Economu 2tb"
"282";"Tb_Ghe.Baritiu 1"
"283";"P-ta 700 1tb."
"284";"Aeroport Civil"
"285";"Tb_Oituz 2"
"286";"P-ta 700 2tb"
"287";"Tb_Ghe.Baritiu 2"
"288";"Peco 1a"
"289";"Cefin 1a"
"290";"Metro 1b"
"291";"Peco 2a"
"292";"Liege_2"
"293";"G.Alexandrescu_1"
"294";"Metro 2"
"295";"AGIL_1"
"296";"PITT"
"297";"AGIL_2"
"298";"Metro_2"
"299";"T.Grozavescu p"
"300";"Pasaj Michelangelo"
"301";"Regina Maria 1a"
"302";"Dambovita 1a"
"303";"Vaslui 1a"
"304";"Pacii 1a"
"305";"V Simionescu 1a"
"306";"Liceul Auto"
"307";"Lic. Auto_"
"308";"V.Simionescu 2a"
"309";"Pacii 2a"
"310";"Vaslui 2a"
"311";"Tv_Catedrala 1"
"312";"Fac Electro_"
"313";"T.Grozavescu"
"314";"Mangalia 1a"
"315";"Polona_2"
"316";"Platforma Elba"
"317";"Mangalia 2a"
"318";"V. Parvan"
"319";"Fac. de Mecanica"
"320";"Balcescu"
"321";"str. Corbului"
"322";"Pod C. Sagului"
"323";"Ab_Izlaz_"
"324";"Ab_Bujorilor_"
"325";"Ab_Brancoveanu_"
"326";"Porumbescu_"
"327";"Balcescu_"
"328";"Fac de Mecanica_"
"329";"Pasaj Michelangelo_"
"330";"C.Brancoveanu"
"331";"Flora"
"332";"ROMTRANS"
"333";"Lugojului"
"334";"Primaria Ghiroda"
"335";"Ialomita"
"336";"Pod Ghiroda s"
"337";"Pod Ghiroda"
"338";"Ialomita_"
"339";"Primaria Ghiroda_"
"340";"Lugojului_"
"341";"Bastion_s"
"342";"Aleea Pad.V"
"343";"Giarmata Vii 1"
"344";"G Vii Stadion1"
"345";"Teilor1"
"346";"Giarmata Vii 2s"
"347";"Giarmata Vii 2p"
"348";"G Vii Stadion_"
"349";"Giarmata Vii1_"
"350";"Aleea Pad.V_"
"351";"Teilor2"
"352";"Bastion s"
"353";"Utvin Pl Ind"
"354";"Utvin Biserica"
"355";"Utvin balta"
"356";"Pod Sanm.R"
"357";"Sanmh R_Peco"
"358";"Primarie SR"
"359";"Strand Termal"
"360";"Sanmihaiu G"
"361";"Sanmihaiu G_"
"362";"Strand Termal_"
"363";"Primarie SR_"
"364";"Sanmh R_Peco_"
"365";"Pod Sanm.R_"
"366";"Utvin balta_"
"367";"Utvin Biserica_"
"368";"Utvin Pl Ind_"
"369";"Tv_Cetatii 1"
"370";"Moara"
"371";"Dispensar"
"372";"Balta"
"373";"Class"
"374";"Comtur"
"375";"Biserica BM"
"376";"Beregsau Mic"
"377";"Strada VI"
"378";"Camin BM"
"379";"Class_"
"380";"Balta_"
"381";"Biserica"
"382";"Moara_"
"383";"Tv_Banatim 2"
"384";"Becicherec_Baza"
"385";"Becicherecu_Mic_S"
"386";"Becicherecu_Mic_p"
"387";"Becicherec_Baza_"
"388";"Tb_P-ta Marasti 2"
"389";"Tv_Banatim 1"
"390";"I.I. de la Brad"
"391";"F.Zoltan1"
"392";"Primarie_D"
"393";"I.Attila1"
"394";"Giratie D"
"395";"I.Attila2"
"396";"E.Murgu"
"397";"F.Zoltan2"
"398";"I.I.de la Brad 2tb."
"399";"Pop de Basesti 1tb"
"400";"Regina Maria 1tb"
"401";"Samuil Micu 1tb"
"402";"Renasterii 1tb."
"403";"Arena Aqua 2tb"
"404";"Renasterii 2tb."
"405";"Samuil Micu 2tb"
"406";"Regina Maria 2tb"
"407";"Pop de Basesti 2tb."
"408";"Iulius Mall 1tb."
"409";"Petru si Pavel 1tb"
"410";"I.I.de la Brad 1tb."
"411";"Cim.Eroilor 2tb"
"412";"M.C-tin Prezan 1tb."
"413";"Prezan (bucla)"
"414";"M.C-tin Prezan 2tb."
"415";"Bv. Sudului 1tb"
"416";"Bv.Sudului(bucla)"
"417";"Bv.Sudului(bucla) 2tb"
"418";"I.C.Bratianu_"
"419";"U.T.T. 2tb"
"420";"Liege 2tb."
"421";"Tb_Baader 1"
"422";"Remus Radulet 1tb"
"423";"Liege 1tb"
"424";"U.T.T. 1tb"
"425";"C.P.Solventul 1tb."
"426";"Gelu 1tb."
"427";"Gelu 2tb."
